notification_date,AgeGroup_0-19,AgeGroup_20-24,AgeGroup_25-29,AgeGroup_35-39,AgeGroup_40-44,AgeGroup_45-49,AgeGroup_50-54,AgeGroup_55-59,AgeGroup_70+,AgeGroup_60-64,AgeGroup_30-34,AgeGroup_65-69,AgeGroup_None
2020-03-09,1,1,1,3,1,1,2,1,2,0,0,0,0
2020-03-10,0,0,0,1,2,0,1,0,0,2,0,0,0
2020-03-11,2,2,1,2,1,0,1,1,2,2,2,0,0
2020-03-12,0,0,2,1,3,2,1,1,0,1,3,0,0
2020-03-13,0,2,2,2,3,0,0,1,0,1,4,4,0
2020-03-14,2,1,2,1,1,1,1,2,0,3,3,3,0
2020-03-15,2,2,3,6,2,1,4,4,2,4,6,2,0
2020-03-16,0,1,5,3,1,7,3,0,0,1,6,2,0
2020-03-17,0,5,4,10,6,10,4,5,5,7,6,2,0
2020-03-18,0,0,5,10,5,1,4,4,2,4,4,6,0
2020-03-19,3,5,7,4,5,6,6,5,4,3,6,2,0
2020-03-20,5,6,19,6,9,6,7,4,10,3,8,5,0
2020-03-21,2,10,16,6,10,10,9,10,15,15,13,6,0
2020-03-22,2,8,15,5,5,9,13,12,21,18,6,7,0
2020-03-23,5,12,17,9,4,6,12,14,50,13,13,22,0
2020-03-24,4,16,20,12,8,18,16,17,32,17,18,14,0
2020-03-25,2,21,33,14,11,18,12,13,39,14,10,19,0
2020-03-26,2,29,18,8,6,12,16,20,22,18,23,11,0
2020-03-27,16,23,23,12,4,14,13,11,40,20,21,16,0
2020-03-28,8,20,19,6,4,9,16,13,17,12,9,10,0
2020-03-29,5,15,15,10,9,5,14,7,16,11,11,6,0
2020-03-30,3,17,15,6,6,7,8,4,10,4,5,5,0
2020-03-31,7,15,19,6,6,11,9,11,20,11,12,4,0
2020-04-01,10,9,18,9,6,5,9,8,19,13,16,2,0
2020-04-02,7,11,14,3,6,5,5,4,6,6,13,12,0
2020-04-03,11,10,12,7,4,5,3,6,12,11,12,13,0
2020-04-04,1,4,5,11,5,7,8,6,10,4,10,2,0
2020-04-05,2,2,6,6,6,4,2,4,16,5,6,4,0
2020-04-06,2,3,2,4,4,1,2,5,5,4,4,4,0
2020-04-07,3,8,2,4,0,2,0,4,2,11,6,2,0
2020-04-08,1,4,5,3,2,6,4,6,5,1,4,3,0
2020-04-09,0,4,5,5,4,1,0,3,7,5,3,4,0
2020-04-10,2,3,4,4,2,2,1,2,3,5,0,2,0
2020-04-11,0,4,2,1,0,1,0,1,1,2,3,3,0
2020-04-12,2,0,2,1,0,0,0,1,1,1,1,0,0
